dp_ind,Prompt
s5/cubemedium_inspect_1.npz,The person is inspecting a medium cube.
s5/doorknob_lift.npz,The person is interacting with a doorknob.
s5/waterbottle_open_1.npz,The person is interacting with a waterbottle.
s5/binoculars_see_1.npz,The person is interacting with a binoculars.
s5/flashlight_on_1.npz,The person is interacting with a flashlight.
s5/binoculars_lift.npz,The person is interacting with a binoculars.
s5/cup_drink_2.npz,The person is drinking from a cup.
s5/bowl_drink_1.npz,The person is drinking from a bowl.
s5/airplane_lift.npz,The person is interacting with a airplane.
s5/cubemedium_lift.npz,The person is interacting with a medium cube.
s5/mouse_pass_1.npz,The person is passing a mouse.
s5/alarmclock_lift.npz,The person is interacting with a alarmclock.
s5/gamecontroller_pass_1.npz,The person is passing a gamecontroller.
s5/flashlight_on_2.npz,The person is interacting with a flashlight.
s5/toothpaste_pass_1.npz,The person is passing a toothpaste.
s5/bowl_drink_2.npz,The person is drinking from a bowl.
s5/banana_pass_1.npz,The person is passing a banana.
s5/cup_pass_1.npz,The person is passing a cup.
s5/duck_pass_1.npz,The person is passing a duck.
s5/pyramidlarge_inspect_1.npz,The person is inspecting a large pyramid.
s5/mug_pass_1.npz,The person is passing a mug.
s5/stamp_stamp_1.npz,The person is stamping a stamp.
s5/wineglass_lift.npz,The person is interacting with a wineglass.
s5/elephant_inspect_1.npz,The person is inspecting a elephant.
s5/cubemedium_pass_1.npz,The person is passing a medium cube.
s5/spherelarge_lift.npz,The person is interacting with a large sphere.
s5/toruslarge_lift.npz,The person is interacting with a large torus.
s5/spheremedium_pass_1.npz,The person is passing a medium sphere.
s5/mouse_use_1.npz,The person is useing a mouse.
s5/cubelarge_lift.npz,The person is interacting with a large cube.
s5/hand_pass_1.npz,The person is passing a hand.
s5/spheresmall_inspect_1.npz,The person is inspecting a small sphere.
s5/stanfordbunny_lift.npz,The person is interacting with a stanfordbunny.
s5/torusmedium_inspect_1.npz,The person is inspecting a medium torus.
s5/gamecontroller_play_1.npz,The person is playing a gamecontroller.
s5/eyeglasses_clean_2.npz,The person is cleaning a eyeglasses.
s5/mug_toast_1.npz,The person is toasting a mug.
s5/elephant_lift.npz,The person is interacting with a elephant.
s5/piggybank_use_1.npz,The person is useing a piggybank.
s5/piggybank_lift.npz,The person is interacting with a piggybank.
s5/spherelarge_pass_1.npz,The person is passing a large sphere.
s5/hammer_pass_1.npz,The person is passing a hammer.
s5/waterbottle_shake_1.npz,The person is shakeing a waterbottle.
s5/wineglass_toast_1.npz,The person is toasting a wineglass.
s5/elephant_pass_1.npz,The person is passing a elephant.
s5/cubelarge_inspect_1.npz,The person is inspecting a large cube.
s5/stanfordbunny_inspect_1.npz,The person is inspecting a stanfordbunny.
s5/hammer_use_1.npz,The person is useing a hammer.
s5/cylinderlarge_inspect_1.npz,The person is inspecting a large cylinder.
s5/cubesmall_lift.npz,The person is interacting with a small cube.
s5/train_pass_1.npz,The person is passing a train.
s5/spheremedium_lift.npz,The person is interacting with a medium sphere.
s5/stapler_pass_1.npz,The person is passing a stapler.
s5/spheremedium_inspect_1.npz,The person is inspecting a medium sphere.
s5/alarmclock_see_1.npz,The person is interacting with a alarmclock.
s5/cylindermedium_lift.npz,The person is interacting with a medium cylinder.
s5/duck_lift.npz,The person is interacting with a duck.
s5/cylindermedium_inspect_1.npz,The person is inspecting a medium cylinder.
s5/flute_pass_1.npz,The person is passing a flute.
s5/wineglass_pass_1.npz,The person is passing a wineglass.
s5/cup_pour_1.npz,The person is pouring a cup.
s5/bowl_pass_1.npz,The person is passing a bowl.
s5/hand_inspect_1.npz,The person is inspecting a hand.
s5/pyramidlarge_pass_1.npz,The person is passing a large pyramid.
s5/teapot_pass_1.npz,The person is passing a teapot.
s5/cylindermedium_pass_1.npz,The person is passing a medium cylinder.
s5/cubesmall_pass_1.npz,The person is passing a small cube.
s5/piggybank_pass_1.npz,The person is passing a piggybank.
s5/cylinderlarge_lift.npz,The person is interacting with a large cylinder.
s5/cubelarge_pass_1.npz,The person is passing a large cube.
s5/waterbottle_lift.npz,The person is interacting with a waterbottle.
s5/airplane_pass_1.npz,The person is passing a airplane.
s5/scissors_pass_1.npz,The person is passing a scissors.
s5/toothbrush_brush_1.npz,The person is brushing a toothbrush.
s5/toruslarge_pass_1.npz,The person is passing a large torus.
s5/spherelarge_inspect_1.npz,The person is inspecting a large sphere.
s5/stamp_pass_1.npz,The person is passing a stamp.
s5/cylindersmall_pass_1.npz,The person is passing a small cylinder.
s5/banana_peel_2.npz,The person is peeling a banana.
s5/flute_play_1.npz,The person is playing a flute.
s5/mug_drink_1.npz,The person is drinking from a mug.
s5/cylinderlarge_pass_1.npz,The person is passing a large cylinder.
s5/apple_pass_1.npz,The person is passing a apple.
s5/wineglass_drink_2.npz,The person is drinking from a wineglass.
s5/train_lift.npz,The person is interacting with a train.
s5/phone_pass_1.npz,The person is passing a phone.
s5/stanfordbunny_pass_1.npz,The person is passing a stanfordbunny.
s5/train_play_1.npz,The person is playing a train.
s5/alarmclock_pass_1.npz,The person is passing a alarmclock.
s5/camera_takepicture_3.npz,The person is takepictureing a camera.
s5/flute_play_2.npz,The person is playing a flute.
s5/gamecontroller_lift.npz,The person is interacting with a gamecontroller.
s5/watch_pass_1.npz,The person is passing a watch.
s5/mouse_lift.npz,The person is interacting with a mouse.
s5/wineglass_drink_1.npz,The person is drinking from a wineglass.
s5/cubesmall_inspect_1.npz,The person is inspecting a small cube.
s5/torusmedium_pass_1.npz,The person is passing a medium torus.
s5/waterbottle_pass_1.npz,The person is passing a waterbottle.
s5/pyramidmedium_pass_1.npz,The person is passing a medium pyramid.
s5/cylindersmall_inspect_1.npz,The person is inspecting a small cylinder.
s5/pyramidmedium_inspect_1.npz,The person is inspecting a medium pyramid.
s5/camera_pass_1.npz,The person is passing a camera.
s5/cup_lift.npz,The person is interacting with a cup.
s5/torussmall_inspect_1.npz,The person is inspecting a small torus.
s5/duck_inspect_1.npz,The person is inspecting a duck.
s5/binoculars_pass_1.npz,The person is passing a binoculars.
s2/cubemedium_inspect_1.npz,The person is inspecting a medium cube.
s2/stapler_staple_1.npz,The person is stapleing a stapler.
s2/flashlight_on_1.npz,The person is interacting with a flashlight.
s2/headphones_use_1.npz,The person is useing a headphones.
s2/cubemedium_lift.npz,The person is interacting with a medium cube.
s2/stapler_staple_2.npz,The person is stapleing a stapler.
s2/mouse_pass_1.npz,The person is passing a mouse.
s2/toothpaste_lift.npz,The person is interacting with a toothpaste.
s2/gamecontroller_pass_1.npz,The person is passing a gamecontroller.
s2/flashlight_on_2.npz,The person is interacting with a flashlight.
s2/cup_drink_1.npz,The person is drinking from a cup.
s2/hand_lift.npz,The person is interacting with a hand.
s2/banana_pass_1.npz,The person is passing a banana.
s2/cup_pass_1.npz,The person is passing a cup.
s2/pyramidlarge_inspect_1.npz,The person is inspecting a large pyramid.
s2/mug_pass_1.npz,The person is passing a mug.
s2/stamp_stamp_1.npz,The person is stamping a stamp.
s2/teapot_pour_1.npz,The person is pouring a teapot.
s2/elephant_inspect_1.npz,The person is inspecting a elephant.
s2/spherelarge_lift.npz,The person is interacting with a large sphere.
s2/toruslarge_lift.npz,The person is interacting with a large torus.
s2/spheremedium_pass_1.npz,The person is passing a medium sphere.
s2/mouse_use_1.npz,The person is useing a mouse.
s2/cubelarge_lift.npz,The person is interacting with a large cube.
s2/spheresmall_inspect_1.npz,The person is inspecting a small sphere.
s2/teapot_pour_2.npz,The person is pouring a teapot.
s2/stanfordbunny_lift.npz,The person is interacting with a stanfordbunny.
s2/gamecontroller_play_1.npz,The person is playing a gamecontroller.
s2/toothpaste_squeeze_1.npz,The person is interacting with a toothpaste.
s2/mug_toast_1.npz,The person is toasting a mug.
s2/piggybank_use_1.npz,The person is useing a piggybank.
s2/piggybank_lift.npz,The person is interacting with a piggybank.
s2/headphones_pass_1.npz,The person is passing a headphones.
s2/eyeglasses_clean_1.npz,The person is cleaning a eyeglasses.
s2/spherelarge_pass_1.npz,The person is passing a large sphere.
s2/eyeglasses_pass_1.npz,The person is passing a eyeglasses.
s2/apple_eat_1.npz,The person is eating a apple.
s2/knife_pass_1.npz,The person is passing a knife.
s2/airplane_fly_1.npz,The person is flying a airplane.
s2/elephant_pass_1.npz,The person is passing a elephant.
s2/hammer_use_2.npz,The person is useing a hammer.
s2/phone_call_1.npz,The person is calling a phone.
s2/cubelarge_inspect_1.npz,The person is inspecting a large cube.
s2/banana_eat_1.npz,The person is eating a banana.
s2/toruslarge_inspect_1.npz,The person is inspecting a large torus.
s2/stanfordbunny_inspect_1.npz,The person is inspecting a stanfordbunny.
s2/hammer_use_1.npz,The person is useing a hammer.
s2/cylinderlarge_inspect_1.npz,The person is inspecting a large cylinder.
s2/pyramidlarge_pass_1_Retake.npz,The person is passing a large pyramid.
s2/cubesmall_lift.npz,The person is interacting with a small cube.
s2/train_pass_1.npz,The person is passing a train.
s2/stapler_pass_1.npz,The person is passing a stapler.
s2/torussmall_lift.npz,The person is interacting with a small torus.
s2/cylindermedium_lift.npz,The person is interacting with a medium cylinder.
s2/cylindermedium_inspect_1.npz,The person is inspecting a medium cylinder.
s2/camera_lift.npz,The person is interacting with a camera.
s2/flute_pass_1.npz,The person is passing a flute.
s2/toothbrush_lift.npz,The person is interacting with a toothbrush.
s2/scissors_use_1.npz,The person is useing a scissors.
s2/hand_inspect_1.npz,The person is inspecting a hand.
s2/mug_lift.npz,The person is interacting with a mug.
s2/teapot_pass_1.npz,The person is passing a teapot.
s2/cylindermedium_pass_1.npz,The person is passing a medium cylinder.
s2/cubesmall_pass_1.npz,The person is passing a small cube.
s2/headphones_lift.npz,The person is interacting with a headphones.
s2/cylinderlarge_lift.npz,The person is interacting with a large cylinder.
s2/cubelarge_pass_1.npz,The person is passing a large cube.
s2/camera_browse_1.npz,The person is browseing a camera.
s2/teapot_lift.npz,The person is interacting with a teapot.
s2/toruslarge_pass_1.npz,The person is passing a large torus.
s2/spherelarge_inspect_1.npz,The person is inspecting a large sphere.
s2/pyramidlarge_lift.npz,The person is interacting with a large pyramid.
s2/piggybank_pass_1_Retake.npz,The person is passing a piggybank.
s2/cylindersmall_pass_1.npz,The person is passing a small cylinder.
s2/apple_lift.npz,The person is interacting with a apple.
s2/mug_drink_1.npz,The person is drinking from a mug.
s2/doorknob_use_2.npz,The person is useing a doorknob.
s2/cylinderlarge_pass_1.npz,The person is passing a large cylinder.
s2/apple_pass_1.npz,The person is passing a apple.
s2/train_lift.npz,The person is interacting with a train.
s2/phone_pass_1.npz,The person is passing a phone.
s2/stanfordbunny_pass_1.npz,The person is passing a stanfordbunny.
s2/train_play_1.npz,The person is playing a train.
s2/banana_peel_1.npz,The person is peeling a banana.
s2/camera_takepicture_2.npz,The person is takepictureing a camera.
s2/mug_drink_2.npz,The person is drinking from a mug.
s2/cubesmall_inspect_1.npz,The person is inspecting a small cube.
s2/hammer_lift.npz,The person is interacting with a hammer.
s2/pyramidmedium_pass_1.npz,The person is passing a medium pyramid.
s2/fryingpan_pass_1.npz,The person is passing a fryingpan.
s2/pyramidmedium_inspect_1.npz,The person is inspecting a medium pyramid.
s2/camera_pass_1.npz,The person is passing a camera.
s2/duck_inspect_1.npz,The person is inspecting a duck.
s3/knife_lift.npz,The person is interacting with a knife.
s3/binoculars_offhand_1.npz,The person is holding a binoculars with one hand.
s3/cubemedium_inspect_1.npz,The person is inspecting a medium cube.
s3/stapler_staple_1.npz,The person is stapleing a stapler.
s3/waterbottle_drink_1.npz,The person is drinking from a waterbottle.
s3/binoculars_see_1.npz,The person is interacting with a binoculars.
s3/flashlight_on_1.npz,The person is interacting with a flashlight.
s3/binoculars_lift.npz,The person is interacting with a binoculars.
s3/cup_drink_2.npz,The person is drinking from a cup.
s3/bowl_drink_1.npz,The person is drinking from a bowl.
s3/headphones_use_1.npz,The person is useing a headphones.
s3/airplane_lift.npz,The person is interacting with a airplane.
s3/mouse_pass_1.npz,The person is passing a mouse.
s3/toothpaste_lift.npz,The person is interacting with a toothpaste.
s3/alarmclock_lift.npz,The person is interacting with a alarmclock.
s3/watch_set_1.npz,The person is seting a watch.
s3/gamecontroller_pass_1.npz,The person is passing a gamecontroller.
s3/cup_drink_1.npz,The person is drinking from a cup.
s3/toothpaste_pass_1.npz,The person is passing a toothpaste.
s3/bowl_drink_2.npz,The person is drinking from a bowl.
s3/stamp_lift.npz,The person is interacting with a stamp.
s3/cup_pass_1.npz,The person is passing a cup.
s3/pyramidlarge_inspect_1.npz,The person is inspecting a large pyramid.
s3/mug_pass_1.npz,The person is passing a mug.
s3/stamp_stamp_1.npz,The person is stamping a stamp.
s3/wineglass_lift.npz,The person is interacting with a wineglass.
s3/toruslarge_lift.npz,The person is interacting with a large torus.
s3/mouse_use_1.npz,The person is useing a mouse.
s3/cubelarge_lift.npz,The person is interacting with a large cube.
s3/hand_pass_1.npz,The person is passing a hand.
s3/mug_offhand_1.npz,The person is holding a mug with one hand.
s3/stanfordbunny_lift.npz,The person is interacting with a stanfordbunny.
s3/torusmedium_inspect_1.npz,The person is inspecting a medium torus.
s3/eyeglasses_offhand_1.npz,The person is holding a eyeglasses with one hand.
s3/gamecontroller_play_1.npz,The person is playing a gamecontroller.
s3/toothpaste_squeeze_1.npz,The person is interacting with a toothpaste.
s3/flashlight_pass_1.npz,The person is passing a flashlight.
s3/elephant_lift.npz,The person is interacting with a elephant.
s3/piggybank_use_1.npz,The person is useing a piggybank.
s3/spheresmall_pass_1.npz,The person is passing a small sphere.
s3/eyeglasses_clean_1.npz,The person is cleaning a eyeglasses.
s3/spherelarge_pass_1.npz,The person is passing a large sphere.
s3/hammer_pass_1.npz,The person is passing a hammer.
s3/wineglass_toast_1.npz,The person is toasting a wineglass.
s3/eyeglasses_pass_1.npz,The person is passing a eyeglasses.
s3/apple_eat_1.npz,The person is eating a apple.
s3/apple_offhand_1.npz,The person is holding a apple with one hand.
s3/airplane_fly_1.npz,The person is flying a airplane.
s3/elephant_pass_1.npz,The person is passing a elephant.
s3/stapler_lift.npz,The person is interacting with a stapler.
s3/hammer_use_2.npz,The person is useing a hammer.
s3/phone_call_1.npz,The person is calling a phone.
s3/toruslarge_inspect_1.npz,The person is inspecting a large torus.
s3/stanfordbunny_inspect_1.npz,The person is inspecting a stanfordbunny.
s3/hammer_use_1.npz,The person is useing a hammer.
s3/waterbottle_pour_2.npz,The person is pouring a waterbottle.
s3/cylinderlarge_inspect_1.npz,The person is inspecting a large cylinder.
s3/train_pass_1.npz,The person is passing a train.
s3/cup_offhand_1.npz,The person is holding a cup with one hand.
s3/stapler_pass_1.npz,The person is passing a stapler.
s3/spheremedium_inspect_1.npz,The person is inspecting a medium sphere.
s3/alarmclock_see_1.npz,The person is interacting with a alarmclock.
s3/scissors_use_2.npz,The person is useing a scissors.
s3/cylindermedium_lift.npz,The person is interacting with a medium cylinder.
s3/cubelarge_offhand_1.npz,The person is holding a large cube with one hand.
s3/wineglass_pass_1.npz,The person is passing a wineglass.
s3/airplane_offhand_1.npz,The person is holding a airplane with one hand.
s3/cup_pour_1.npz,The person is pouring a cup.
s3/scissors_use_1.npz,The person is useing a scissors.
s3/pyramidlarge_pass_1.npz,The person is passing a large pyramid.
s3/cylindermedium_pass_1.npz,The person is passing a medium cylinder.
s3/piggybank_pass_1.npz,The person is passing a piggybank.
s3/pyramidsmall_pass_1.npz,The person is passing a small pyramid.
s3/cubelarge_pass_1.npz,The person is passing a large cube.
s3/flute_offhand_1.npz,The person is holding a flute with one hand.
s3/waterbottle_lift.npz,The person is interacting with a waterbottle.
s3/airplane_pass_1.npz,The person is passing a airplane.
s3/scissors_pass_1.npz,The person is passing a scissors.
s3/toothbrush_brush_1.npz,The person is brushing a toothbrush.
s3/toruslarge_pass_1.npz,The person is passing a large torus.
s3/cylinderlarge_lift_Retake.npz,The person is lifting a large cylinder.
s3/spherelarge_inspect_1.npz,The person is inspecting a large sphere.
s3/pyramidlarge_offhand_1.npz,The person is holding a large pyramid with one hand.
s3/toothbrush_pass_1.npz,The person is passing a toothbrush.
s3/stamp_pass_1.npz,The person is passing a stamp.
s3/cylindersmall_pass_1.npz,The person is passing a small cylinder.
s3/flute_play_1.npz,The person is playing a flute.
s3/alarmclock_offhand_1.npz,The person is holding a alarmclock with one hand.
s3/apple_lift.npz,The person is interacting with a apple.
s3/camera_takepicture_1.npz,The person is takepictureing a camera.
s3/mug_drink_1.npz,The person is drinking from a mug.
s3/doorknob_use_2.npz,The person is useing a doorknob.
s3/elephant_offhand_1.npz,The person is holding a elephant with one hand.
s3/cylinderlarge_pass_1.npz,The person is passing a large cylinder.
s3/apple_pass_1.npz,The person is passing a apple.
s3/wineglass_drink_2.npz,The person is drinking from a wineglass.
s3/train_lift.npz,The person is interacting with a train.
s3/eyeglasses_wear_1.npz,The person is interacting with a eyeglasses.
s3/phone_pass_1.npz,The person is passing a phone.
s3/stanfordbunny_pass_1.npz,The person is passing a stanfordbunny.
s3/train_play_1.npz,The person is playing a train.
s3/alarmclock_pass_1.npz,The person is passing a alarmclock.
s3/camera_offhand_1.npz,The person is holding a camera with one hand.
s3/mug_drink_3.npz,The person is drinking from a mug.
s3/camera_takepicture_3.npz,The person is takepictureing a camera.
s3/gamecontroller_lift.npz,The person is interacting with a gamecontroller.
s3/watch_pass_1.npz,The person is passing a watch.
s3/camera_takepicture_2.npz,The person is takepictureing a camera.
s3/mug_drink_2.npz,The person is drinking from a mug.
s3/mouse_offhand_1.npz,The person is holding a mouse with one hand.
s3/doorknob_use_1.npz,The person is useing a doorknob.
s3/mouse_lift.npz,The person is interacting with a mouse.
s3/wineglass_drink_1.npz,The person is drinking from a wineglass.
s3/cubesmall_inspect_1.npz,The person is inspecting a small cube.
s3/lightbulb_screw_1.npz,The person is screwing a lightbulb.
s3/fryingpan_lift.npz,The person is interacting with a fryingpan.
s3/torusmedium_pass_1.npz,The person is passing a medium torus.
s3/waterbottle_pass_1.npz,The person is passing a waterbottle.
s3/pyramidmedium_pass_1.npz,The person is passing a medium pyramid.
s3/cylindersmall_inspect_1.npz,The person is inspecting a small cylinder.
s3/pyramidmedium_inspect_1.npz,The person is inspecting a medium pyramid.
s3/camera_pass_1.npz,The person is passing a camera.
s3/mug_drink_4.npz,The person is drinking from a mug.
s3/cup_lift.npz,The person is interacting with a cup.
s3/duck_inspect_1.npz,The person is inspecting a duck.
s4/cubemedium_inspect_1.npz,The person is inspecting a medium cube.
s4/doorknob_lift.npz,The person is interacting with a doorknob.
s4/stapler_staple_1.npz,The person is stapleing a stapler.
s4/waterbottle_drink_1.npz,The person is drinking from a waterbottle.
s4/binoculars_see_1.npz,The person is interacting with a binoculars.
s4/fryingpan_cook_1.npz,The person is interacting with a fryingpan.
s4/watch_set_2.npz,The person is seting a watch.
s4/binoculars_lift.npz,The person is interacting with a binoculars.
s4/cup_drink_2.npz,The person is drinking from a cup.
s4/bowl_drink_1.npz,The person is drinking from a bowl.
s4/headphones_use_1.npz,The person is useing a headphones.
s4/cubemedium_lift.npz,The person is interacting with a medium cube.
s4/stapler_staple_2.npz,The person is stapleing a stapler.
s4/fryingpan_cook_2.npz,The person is interacting with a fryingpan.
s4/mouse_pass_1.npz,The person is passing a mouse.
s4/alarmclock_lift.npz,The person is interacting with a alarmclock.
s4/watch_set_1.npz,The person is seting a watch.
s4/gamecontroller_pass_1.npz,The person is passing a gamecontroller.
s4/cup_drink_1.npz,The person is drinking from a cup.
s4/hand_lift.npz,The person is interacting with a hand.
s4/toothpaste_pass_1.npz,The person is passing a toothpaste.
s4/bowl_drink_2.npz,The person is drinking from a bowl.
s4/banana_pass_1.npz,The person is passing a banana.
s4/stamp_lift.npz,The person is interacting with a stamp.
s4/cup_pass_1.npz,The person is passing a cup.
s4/fryingpan_cook_3.npz,The person is interacting with a fryingpan.
s4/cylindersmall_lift.npz,The person is interacting with a small cylinder.
s4/duck_pass_1.npz,The person is passing a duck.
s4/mug_pass_1.npz,The person is passing a mug.
s4/mouse_use_2.npz,The person is useing a mouse.
s4/stamp_stamp_1.npz,The person is stamping a stamp.
s4/wineglass_lift.npz,The person is interacting with a wineglass.
s4/elephant_inspect_1.npz,The person is inspecting a elephant.
s4/cubemedium_pass_1.npz,The person is passing a medium cube.
s4/spherelarge_lift.npz,The person is interacting with a large sphere.
s4/spheremedium_pass_1.npz,The person is passing a medium sphere.
s4/mouse_use_1.npz,The person is useing a mouse.
s4/cubelarge_lift.npz,The person is interacting with a large cube.
s4/hand_pass_1.npz,The person is passing a hand.
s4/teapot_pour_2.npz,The person is pouring a teapot.
s4/stanfordbunny_lift.npz,The person is interacting with a stanfordbunny.
s4/torusmedium_inspect_1.npz,The person is inspecting a medium torus.
s4/flashlight_pass_1.npz,The person is passing a flashlight.
s4/piggybank_use_1.npz,The person is useing a piggybank.
s4/spheresmall_pass_1.npz,The person is passing a small sphere.
s4/piggybank_lift.npz,The person is interacting with a piggybank.
s4/headphones_pass_1.npz,The person is passing a headphones.
s4/spherelarge_pass_1.npz,The person is passing a large sphere.
s4/waterbottle_shake_1.npz,The person is shakeing a waterbottle.
s4/wineglass_toast_1.npz,The person is toasting a wineglass.
s4/apple_eat_1.npz,The person is eating a apple.
s4/hammer_use_3.npz,The person is useing a hammer.
s4/airplane_fly_1.npz,The person is flying a airplane.
s4/elephant_pass_1.npz,The person is passing a elephant.
s4/stapler_lift.npz,The person is interacting with a stapler.
s4/hammer_use_2.npz,The person is useing a hammer.
s4/phone_call_1.npz,The person is calling a phone.
s4/waterbottle_pour_1.npz,The person is pouring a waterbottle.
s4/cubelarge_inspect_1.npz,The person is inspecting a large cube.
s4/stanfordbunny_inspect_1.npz,The person is inspecting a stanfordbunny.
s4/hammer_use_1.npz,The person is useing a hammer.
s4/cylinderlarge_inspect_1.npz,The person is inspecting a large cylinder.
s4/train_pass_1.npz,The person is passing a train.
s4/spheremedium_lift.npz,The person is interacting with a medium sphere.
s4/spheresmall_lift.npz,The person is interacting with a small sphere.
s4/stapler_pass_1.npz,The person is passing a stapler.
s4/spheremedium_inspect_1.npz,The person is inspecting a medium sphere.
s4/torussmall_lift.npz,The person is interacting with a small torus.
s4/alarmclock_see_1.npz,The person is interacting with a alarmclock.
s4/camera_lift.npz,The person is interacting with a camera.
s4/wineglass_pass_1.npz,The person is passing a wineglass.
s4/cup_pour_1.npz,The person is pouring a cup.
s4/bowl_pass_1.npz,The person is passing a bowl.
s4/hand_inspect_1.npz,The person is inspecting a hand.
s4/pyramidlarge_pass_1.npz,The person is passing a large pyramid.
s4/cubesmall_pass_1.npz,The person is passing a small cube.
s4/piggybank_pass_1.npz,The person is passing a piggybank.
s4/cylinderlarge_lift.npz,The person is interacting with a large cylinder.
s4/cubelarge_pass_1.npz,The person is passing a large cube.
s4/airplane_pass_1.npz,The person is passing a airplane.
s4/scissors_pass_1.npz,The person is passing a scissors.
s4/toruslarge_pass_1.npz,The person is passing a large torus.
s4/spherelarge_inspect_1.npz,The person is inspecting a large sphere.
s4/torussmall_pass_1.npz,The person is passing a small torus.
s4/phone_lift.npz,The person is interacting with a phone.
s4/toothbrush_pass_1.npz,The person is passing a toothbrush.
s4/stamp_pass_1.npz,The person is passing a stamp.
s4/cylindersmall_pass_1.npz,The person is passing a small cylinder.
s4/flute_play_1.npz,The person is playing a flute.
s4/apple_lift.npz,The person is interacting with a apple.
s4/cylinderlarge_pass_1.npz,The person is passing a large cylinder.
s4/apple_pass_1.npz,The person is passing a apple.
s4/wineglass_drink_2.npz,The person is drinking from a wineglass.
s4/train_lift.npz,The person is interacting with a train.
s4/phone_pass_1.npz,The person is passing a phone.
s4/stanfordbunny_pass_1.npz,The person is passing a stanfordbunny.
s4/train_play_1.npz,The person is playing a train.
s4/alarmclock_pass_1.npz,The person is passing a alarmclock.
s4/camera_takepicture_3.npz,The person is takepictureing a camera.
s4/watch_pass_1.npz,The person is passing a watch.
s4/camera_takepicture_2.npz,The person is takepictureing a camera.
s4/mug_drink_2.npz,The person is drinking from a mug.
s4/doorknob_use_1.npz,The person is useing a doorknob.
s4/wineglass_drink_1.npz,The person is drinking from a wineglass.
s4/pyramidmedium_pass_1.npz,The person is passing a medium pyramid.
s4/fryingpan_pass_1.npz,The person is passing a fryingpan.
s4/watch_lift.npz,The person is interacting with a watch.
s4/pyramidmedium_inspect_1.npz,The person is inspecting a medium pyramid.
s4/camera_pass_1.npz,The person is passing a camera.
s4/cup_lift.npz,The person is interacting with a cup.
s4/torusmedium_lift.npz,The person is interacting with a medium torus.
s4/duck_inspect_1.npz,The person is inspecting a duck.
s4/binoculars_pass_1.npz,The person is passing a binoculars.
s10/cubemedium_inspect_1.npz,The person is inspecting a medium cube.
s10/doorknob_lift.npz,The person is interacting with a doorknob.
s10/stapler_staple_1.npz,The person is stapleing a stapler.
s10/waterbottle_drink_1.npz,The person is drinking from a waterbottle.
s10/binoculars_see_1.npz,The person is interacting with a binoculars.
s10/fryingpan_cook_1.npz,The person is interacting with a fryingpan.
s10/flashlight_on_1.npz,The person is interacting with a flashlight.
s10/binoculars_lift.npz,The person is interacting with a binoculars.
s10/cup_drink_2.npz,The person is drinking from a cup.
s10/headphones_use_1.npz,The person is useing a headphones.
